research_batch	sample_class	process_or_mode	campaign_count	generated_events	population_scope	source_family	canonical_source_description	reference_cross_section_scope_required	target_perturbative_order	branching_reconciliation_task	process_specific_reconciliation_task	exact_process_definition_evidence_required	numerical_reference_cross_section_pb	scale_uncertainty	pdf_alphaS_uncertainty	other_theory_uncertainty	filter_efficiency	matching_efficiency	k_factor_policy	branching_factor	reference_document_identifier	reference_table_or_equation	reference_access_date	research_status	review_status	physical_weight_application_authorized
B_top	background	ttbar_inclusive	4	1020000	bundle_plus_independent_legacy_population	LHC_Top_Working_Group	LHCTopWG 13 TeV ttbar NNLO+NNLL Top++ recommendation	inclusive_ttbar	NNLO_QCD_plus_NNLL	no_top_decay_BR_for_inclusive_decay_sampling_unless_forced_scope_proves_otherwise	authorize_final_4_campaign_1.02M_event_denominator_aggregation	True												pending_authoritative_primary_source_extraction	not_reviewed	False
B_top	background	tttt	2	40000	bundle_backed_population	LHC_Top_Working_Group	LHCTopWG FourTopReferenceCrossSections 13 TeV	inclusive_tttt	current_ATLAS_CMS_recommended_NLO_plus_resummation	confirm_top_decay_scope	record_scale_and_PDF_alphaS_uncertainties_separately	True												pending_authoritative_primary_source_extraction	not_reviewed	False
B_top	background	ttw	2	60000	bundle_backed_population	LHC_Top_Working_Group	LHCTopWG associated ttW 13 TeV recommendation	inclusive_ttW_charge_sum_or_exact_generated_charge_scope	current_LHCTopWG_recommendation	confirm_W_and_top_decay_scope	determine_ttW_plus_ttWminus_scope	True												pending_authoritative_primary_source_extraction	not_reviewed	False
B_top	background	ttz_zbb	2	40000	bundle_backed_population	LHC_Top_Working_Group	LHCTopWG associated ttZ 13 TeV recommendation	inclusive_ttZ	current_LHCTopWG_recommendation	apply_BR_Z_to_bb_exactly_once_if_Zbb_was_forced	confirm_Z_mass_window_and_decay_filter_scope	True												pending_authoritative_primary_source_extraction	not_reviewed	False
B_top	background	tw_antitop	2	70000	bundle_backed_population	LHC_Top_Working_Group	LHCTopWG SingleTopNNLORef 13 TeV tW antitop	inclusive_tW_antitop_charge_component	NNLO_QCD_reference	confirm_antitop_and_W_decay_scope	match_charge_component_and_tW_interference_scheme	True												pending_authoritative_primary_source_extraction	not_reviewed	False
B_top	background	tw_top	2	70000	bundle_backed_population	LHC_Top_Working_Group	LHCTopWG SingleTopNNLORef 13 TeV tW top	inclusive_tW_top_charge_component	NNLO_QCD_reference	confirm_top_and_W_decay_scope	match_charge_component_and_tW_interference_scheme	True												pending_authoritative_primary_source_extraction	not_reviewed	False
C_electroweak_bosons	background	ww	2	40000	bundle_backed_population	CMS_Standard_Model_Cross_Sections_and_primary_calculation	CMS SM cross-section recommendation for 13 TeV WW	inclusive_WW_or_exact_decay_scope	best_available_NNLO_or_NLO_EW_corrected_reference	apply_forced_W_decay_BR_exactly_once_if_applicable	match_gg_to_WW_and_qq_to_WW_content_to_generation	True												pending_authoritative_primary_source_extraction	not_reviewed	False
C_electroweak_bosons	background	wwz_zbb	2	26000	bundle_backed_population	primary_NLO_triboson_calculation_or_CMS_reference	13 TeV WWZ inclusive reference plus Z->bb branching	inclusive_WWZ	NLO_QCD_reference	apply_BR_Z_to_bb_and_forced_W_decays_exactly_once	confirm_exact_decay_and_phase_space scope	True												pending_authoritative_primary_source_extraction	not_reviewed	False
C_electroweak_bosons	background	wz_zbb	2	60000	bundle_backed_population	CMS_Standard_Model_Cross_Sections_and_primary_calculation	13 TeV WZ reference plus PDG Z->bb branching fraction	inclusive_WZ	best_available_NNLO_or_NLO_reference	apply_BR_Z_to_bb_and_any_forced_W_decay_exactly_once	confirm_charge_sum_decay_scope_and_generator_cuts	True												pending_authoritative_primary_source_extraction	not_reviewed	False
C_electroweak_bosons	background	wzz_zbb	2	16500	bundle_backed_population	primary_NLO_triboson_calculation_or_CMS_reference	13 TeV WZZ inclusive reference with exact Z decay accounting	inclusive_WZZ	NLO_QCD_reference	apply_exact_number_of_forced_Z_to_bb_factors_once	identify_which_Z_is_forced_and_other_boson_decay scope	True												pending_authoritative_primary_source_extraction	not_reviewed	False
C_electroweak_bosons	background	zzz_zbb	2	7500	bundle_backed_population	primary_NLO_triboson_calculation_or_CMS_reference	13 TeV ZZZ inclusive reference with exact Z decay accounting	inclusive_ZZZ	NLO_QCD_reference	apply_exact_number_of_forced_Z_to_bb_factors_once	confirm_one_Zbb_vs_multiple_forced_Z decays	True												pending_authoritative_primary_source_extraction	not_reviewed	False
D_exclusive_heavy_flavor	background	zbbbb	3	250000	bundle_backed_population	exact_generator_phase_space_or_dedicated_primary_calculation	exact 13 TeV Z+bbbb calculation matching generated cuts and flavor scheme	exclusive_Zbbbb_generated_phase_space	exact_matching_NLO_if_available_else_validated_generator_after_cuts	confirm_Z_decay_scope_without_double_counting	do_not_substitute_inclusive_Z_plus_jets_reference	True												pending_authoritative_primary_source_extraction	not_reviewed	False
