scope	classification	path
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/evidence/target_feasibility/full_population_btag_signal_efficiency_ceiling.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/evidence/target_feasibility/full_population_outer_fold_feasibility_summary.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/evidence/target_feasibility/multivariate_cut_target_feasibility_audit_summary.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/multivariate_cut_category_endpoint_amendment.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_implementation_clarification_20260806_v1/README.md
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_implementation_clarification_20260806_v1/SHA256SUMS
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_implementation_clarification_20260806_v1/artifact_manifest.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_implementation_clarification_20260806_v1/multivariate_cut_implementation_clarification.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_nested_oof_cut_search_contract_20260806_v1/README.md
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_nested_oof_cut_search_contract_20260806_v1/SHA256SUMS
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_nested_oof_cut_search_contract_20260806_v1/artifact_manifest.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_nested_oof_cut_search_contract_20260806_v1/evidence/readiness/fold_rhh_support_summary.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_nested_oof_cut_search_contract_20260806_v1/evidence/readiness/nested_oof_cut_contract_readiness.log
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_nested_oof_cut_search_contract_20260806_v1/evidence/readiness/nested_oof_cut_contract_readiness_summary.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_nested_oof_cut_search_contract_20260806_v1/evidence/readiness/source_rhh_support_summary_441.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_nested_oof_cut_search_contract_20260806_v1/nested_oof_cut_search_contract.json
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/README.md
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/SHA256SUMS
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/artifact_manifest.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/paper_inventory/existing_figure_file_inventory.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/paper_inventory/existing_figure_reference_inventory.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/candidate_cut_family_proposal.json
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/candidate_variable_fold_support.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/candidate_variable_pooled_support.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/discrete_candidate_support.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/multivariate_cut_space_readiness_summary.json
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/multivariate_nested_oof_cut_contract.json
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/paper_figure_directory_contract.json
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/README.md
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/SHA256SUMS
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/artifact_manifest.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/evidence/target_feasibility/canary_v2_btag_signal_efficiency_ceiling.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/evidence/target_feasibility/full_population_btag_signal_efficiency_ceiling.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/evidence/target_feasibility/full_population_outer_fold_feasibility_summary.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/evidence/target_feasibility/multivariate_cut_target_feasibility_audit_summary.json
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/multivariate_cut_category_endpoint_amendment.json
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_implementation_clarification_20260806_v1/README.md
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_implementation_clarification_20260806_v1/SHA256SUMS
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_implementation_clarification_20260806_v1/artifact_manifest.tsv
audit_start_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_implementation_clarification_20260806_v1/multivariate_cut_implementation_clarification.json
