member_index	target_tag	comparison_status	legacy_rows	canonical_rows	event_key_sets_equal	shared_columns	sample_identity_after_suffix_normalization	exact_equal_columns	differing_columns	numeric_cells_compared	numeric_cells_equal_at_1e_minus_9	note
334	ttbar_200k_shard005	performed_diagnostic_not_acceptance_criterion	46	46	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	598	527	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
335	ttbar_200k_shard006	performed_diagnostic_not_acceptance_criterion	24	24	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""avg_mbb"",""delta_mbb"",""mhh"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	"[""mbb1"",""mbb2"",""drbb1"",""drbb2""]"	312	288	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
336	ttbar_200k_shard007	performed_diagnostic_not_acceptance_criterion	38	38	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""pairing"",""j1_pt""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""j2_pt"",""j3_pt"",""j4_pt""]"	494	451	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
337	ttbar_200k_shard009	performed_diagnostic_not_acceptance_criterion	34	34	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""j1_pt"",""j2_pt""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j3_pt"",""j4_pt""]"	442	407	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
338	ttbar_200k_shard011	performed_diagnostic_not_acceptance_criterion	34	34	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	442	391	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
339	ttbar_200k_shard012	performed_diagnostic_not_acceptance_criterion	32	32	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""avg_mbb"",""delta_mbb"",""mhh"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	"[""mbb1"",""mbb2"",""drbb1"",""drbb2""]"	416	376	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
340	ttbar_200k_shard013	performed_diagnostic_not_acceptance_criterion	34	34	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	442	374	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
341	ttbar_200k_shard014	performed_diagnostic_not_acceptance_criterion	48	48	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	624	540	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
342	ttbar_200k_shard016	performed_diagnostic_not_acceptance_criterion	29	29	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""j1_pt""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j2_pt"",""j3_pt"",""j4_pt""]"	377	317	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
343	ttbar_200k_shard017	performed_diagnostic_not_acceptance_criterion	36	36	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	468	409	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
344	ttbar_200k_shard018	performed_diagnostic_not_acceptance_criterion	40	40	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	520	454	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
345	ttbar_200k_shard019	performed_diagnostic_not_acceptance_criterion	42	42	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""j1_pt""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j2_pt"",""j3_pt"",""j4_pt""]"	546	502	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
346	ttbar_100k_shard000	performed_diagnostic_not_acceptance_criterion	29	29	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""avg_mbb"",""delta_mbb"",""mhh"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	"[""mbb1"",""mbb2"",""drbb1"",""drbb2""]"	377	357	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
347	ttbar_100k_shard004	not_performed_no_independent_canonical72_product	26	0	False	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	False	[]	[]	0	0	Legacy rows are identification/accounting evidence only.
348	ttbar_100k_shard005	not_performed_no_independent_canonical72_product	44	0	False	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	False	[]	[]	0	0	Legacy rows are identification/accounting evidence only.
349	ttbar_200k_shard008	performed_diagnostic_not_acceptance_criterion	35	35	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets"",""pairing""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	455	404	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
350	ttbar_200k_shard015	performed_diagnostic_not_acceptance_criterion	44	44	True	"[""sample"",""event"",""n_selected_bjets"",""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	True	"[""sample"",""event"",""n_selected_bjets""]"	"[""mbb1"",""mbb2"",""avg_mbb"",""delta_mbb"",""mhh"",""drbb1"",""drbb2"",""pairing"",""j1_pt"",""j2_pt"",""j3_pt"",""j4_pt""]"	572	496	Row/event agreement is expected; feature differences are allowed because the frozen canonical policy replaces the legacy reconstruction semantics.
