sample_class	process_or_mode	campaign	field	blocking_for_physical_weight	required_next_action
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	qcd_overlap_and_stitching	True	prove mutually exclusive phase space and importance weights
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	external_reference_cross_section	True	attach only after exact process and decay scope matching
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	normalization_denominator	True	recover sumw or uniform-positive-weight proof
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	branching_fraction_convention	True	review decay scope against chosen reference cross section
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	filter_efficiency_or_acceptance	True	derive acceptance if an inclusive external cross section is used
