payload_key	replica	category_id	transferred_rows	payload_archive	payload_archive_name	payload_archive_size_bytes	payload_archive_sha256	execution_provenance_sha256
replica_0005__exact3tag	5	exact3tag	108526	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0005__exact3tag.tar.gz	initial200_payload_replica_0005__exact3tag.tar.gz	14026763	8da61e881694c8bdcfcc2b7afaef734260785a1deb9951f5674eace86a351d46	2d3b037c5f4faee9ba58c0f4423ab42d3910a6488e079b0ecd51d1320bfd3ed4
replica_0005__ge4tag	5	ge4tag	30746	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0005__ge4tag.tar.gz	initial200_payload_replica_0005__ge4tag.tar.gz	3854677	ec44e905f5950c48579ec4fd0b370ef3e564022a26b157b7bbefbc2cf84d321c	00e6a4c7e280b4fabb20192f708db0ff9a92d83782be798a220e9e14ac36502d
replica_0006__exact3tag	6	exact3tag	108517	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0006__exact3tag.tar.gz	initial200_payload_replica_0006__exact3tag.tar.gz	15303568	21a9a1acfc59f09e19f3890df4db49ed159bc3241135d8a812ad3bcfbffbff12	486fc82a5eb77078a32193a5ab1baf206451bf88f0c985224ce71b5f1138045e
replica_0006__ge4tag	6	ge4tag	30584	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0006__ge4tag.tar.gz	initial200_payload_replica_0006__ge4tag.tar.gz	4322355	776871415ecbbeedb04bf9e748eba927674f3770b2309ac37f7e7ab5832d3ff9	ab42f289c4988a711a811a45aaaa20809ca17fd8af2bcaac317d63a8e0bddb4c
replica_0007__exact3tag	7	exact3tag	108561	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0007__exact3tag.tar.gz	initial200_payload_replica_0007__exact3tag.tar.gz	14669937	5e8224bbd9a3a7466f3ea21e849d87bfc71da58251ef85764e6462dd64812194	cd24807ef08eacb048faf0971e6d21037316ae66b96fb65ba3306d810840e5ff
replica_0007__ge4tag	7	ge4tag	30974	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0007__ge4tag.tar.gz	initial200_payload_replica_0007__ge4tag.tar.gz	4171540	8fb8f33d2972b99e7b450383e24c9ce095fdf1050899497df102e9f7969edff9	36cc2ff2e55a9a7f21558604cfd4243280e1b739b1d292fc655b875b83f4a5fa
replica_0008__exact3tag	8	exact3tag	108471	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0008__exact3tag.tar.gz	initial200_payload_replica_0008__exact3tag.tar.gz	14510690	b83e55e412090edb7268ec996cdb9b8ec277df472177e0864663ba0eba1c49bc	e7e675922ccf475cf9c6436a0af6feefeca29db4badc0634a8f3e3ab9344dfa2
replica_0008__ge4tag	8	ge4tag	30812	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0008__ge4tag.tar.gz	initial200_payload_replica_0008__ge4tag.tar.gz	4135462	df329969cd92cecd57018ab084af258c9d0048ea52147b516e05f060a4e80d14	45527f0eb4e7f9d94494ec5f40d2add2f880aa0d8d3aed87e9ef33de750f7349
replica_0009__exact3tag	9	exact3tag	108668	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0009__exact3tag.tar.gz	initial200_payload_replica_0009__exact3tag.tar.gz	14467938	50c3a28e0fd8d49bc5fda1d72b21f5f239421f54787982aa9def79c6384ef17b	2705775f5e7a16d264f4f6148915c9c249dac9a1f1d43989636b05a57cfb2b66
replica_0009__ge4tag	9	ge4tag	30275	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0009__ge4tag.tar.gz	initial200_payload_replica_0009__ge4tag.tar.gz	4039683	8736017f16c4081f31fe740c79ee83ed6d7651d6fbd5a97ee4eae53c3f42317d	2dc417f082901bdfce7fc3e10a2beff08733b2a478afac84f90c8ad0f5f9ba9c
replica_0010__exact3tag	10	exact3tag	108721	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0010__exact3tag.tar.gz	initial200_payload_replica_0010__exact3tag.tar.gz	14841373	79033256e08c50b1a1c2fa7aa09423bbdee066b856d853f451423c9f118a1e4f	2ccf5f6382e7daa636587d2d38c9066318a06e13bacbe18a3c2477bf595ee2bc
replica_0010__ge4tag	10	ge4tag	30667	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0010__ge4tag.tar.gz	initial200_payload_replica_0010__ge4tag.tar.gz	4161388	e90e99a48ee899d28c3252b4369710fdf329d518c728a59f51c5b0e83303bc12	d75c6fb1df555f32aae5ed68e61017a9fe2f6ed80a49171bb4294ad4d62db240
replica_0011__exact3tag	11	exact3tag	108458	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0011__exact3tag.tar.gz	initial200_payload_replica_0011__exact3tag.tar.gz	14995380	3e065b192feefbf98662baf351582b0e07f3ab4ccfaab92e4ad53504dbac1cd2	aab4d6b84e6a2a20b89975a9a4e15908088cb9b47fe144deda5d7ee0530fbbf1
replica_0011__ge4tag	11	ge4tag	30992	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0011__ge4tag.tar.gz	initial200_payload_replica_0011__ge4tag.tar.gz	4477386	11080eeb6f60f7913e0b0b19fb9f4e9845c99a233f61a29764d5433af21b09de	24fa0d4b3e8e858146678230bfee007c5047de6531d388df5cd424a10c5c2d1e
replica_0012__exact3tag	12	exact3tag	108775	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0012__exact3tag.tar.gz	initial200_payload_replica_0012__exact3tag.tar.gz	14815067	01cb4fcf1c24a96f3fb44179ee24de44d2e8b04530916020159f1ad310580c19	1f071a8ab1cde715216e188c91d9561b487e3ed74e3197caeab9ff4d78b8a715
replica_0012__ge4tag	12	ge4tag	30547	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0012__ge4tag.tar.gz	initial200_payload_replica_0012__ge4tag.tar.gz	4090903	938c2668176cf40daae13700b2ac003d0ff172390e3f515957d4326875bb807b	a65468448431a618d0d2ad80722566d24853158c46d906f0b6d8ebb463017252
replica_0013__exact3tag	13	exact3tag	108508	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0013__exact3tag.tar.gz	initial200_payload_replica_0013__exact3tag.tar.gz	15418937	66df702a4d4463091801320a095de2f51092422911e7d63a27efa96781393760	8da089d1ce3cd1def2e97a44acf1625e36aea08d6b3e62982a80e65c5d8ebf63
replica_0013__ge4tag	13	ge4tag	30424	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0013__ge4tag.tar.gz	initial200_payload_replica_0013__ge4tag.tar.gz	4501625	4d6802613831db99becc6b17382e949382e4e4aa61a36dc74e8ca0be227b98af	c116461dd02b0adf84854720f8f599ccaea8359ec1db6124fc96f3f4a42f1453
replica_0014__exact3tag	14	exact3tag	108187	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0014__exact3tag.tar.gz	initial200_payload_replica_0014__exact3tag.tar.gz	15218572	06e1f4799079f15007d2bbad0d1645f51e32bde06d2cbacd0e377ac364ea9c2d	19a6ed0017d0cc99e5d69a47ad07839f805bbdd21f04d15bff860b4d27d28ce1
replica_0014__ge4tag	14	ge4tag	30557	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0014__ge4tag.tar.gz	initial200_payload_replica_0014__ge4tag.tar.gz	4461735	6983e07fd040cd7fefcf5003b451868583f7069ee63189f2e915ff02a1624359	aec38962936056fa266785e9c95b4bfe27eb5a0573f887bd7eb3c4cc00898e7d
replica_0015__exact3tag	15	exact3tag	108781	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0015__exact3tag.tar.gz	initial200_payload_replica_0015__exact3tag.tar.gz	15353026	c4622bbf894af4ca4e22f0f640643e9bab216ef4bbbb07210c52b0c2abe4786b	ccf6cdf8dfb2241d7d6a03fa2f3a95e7682dc3a3d90cb5e67faf936c4d419c07
replica_0015__ge4tag	15	ge4tag	30905	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0015__ge4tag.tar.gz	initial200_payload_replica_0015__ge4tag.tar.gz	4460940	483ffb811e39a81fb8d24614b831304e10f75fe36af121971972c60fb8e16e62	6a74d3fbba8830d7001b5fd0d397580ee1067a248ebc16bed7155abc42ac3dc7
replica_0016__exact3tag	16	exact3tag	108573	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0016__exact3tag.tar.gz	initial200_payload_replica_0016__exact3tag.tar.gz	13906394	b361d3c92cc79075c161fc65e309750f816639334295112e0327cdd86fbe1a46	6b6a8dab1b214ca6b1cd9fd12349c53cdd4cda64f203f8a388443c1e84cbba66
replica_0016__ge4tag	16	ge4tag	30860	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0016__ge4tag.tar.gz	initial200_payload_replica_0016__ge4tag.tar.gz	3947458	890fcb352796e0d7fe2d531226604c50bf3028e77f6a99becc0640b6cbfbd5dc	fd22528589da79f40f072203235f1b9c036bee2588ec7073aa0b0650f2ba1f62
replica_0017__exact3tag	17	exact3tag	108542	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0017__exact3tag.tar.gz	initial200_payload_replica_0017__exact3tag.tar.gz	14247766	17eb01b80e0484ad1159db1ef39abbf9cf0c7ab520ac4a45cfcde9a9807cf1df	1a10370470eff0815b84b3e8b97121a50221c6d5c253393e9b2b270cf2533d40
replica_0017__ge4tag	17	ge4tag	30797	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0017__ge4tag.tar.gz	initial200_payload_replica_0017__ge4tag.tar.gz	3951801	0c6187344d750d5e45b7803febc8b38096847539a9ce32346eb2f1d7edb97a34	ba9da3e34ceebd8a80e645934ae2ca2c87e5a088ab5e1f6b91fc0bbe7cc2595b
replica_0018__exact3tag	18	exact3tag	109035	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0018__exact3tag.tar.gz	initial200_payload_replica_0018__exact3tag.tar.gz	14020398	dad579e4dc99fc59961ba54c43d92ad86e84bbef3556b18f1a83dd4239c5fddb	e055efae19a897a9278d04f70675490112fdf40107046c42e75ba068de85f0f1
replica_0018__ge4tag	18	ge4tag	30592	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0018__ge4tag.tar.gz	initial200_payload_replica_0018__ge4tag.tar.gz	3766437	feb1bad4288eed1b13e89772a2ecfab7957c349e214e1e0d82ed1e291ba1f4e9	86fb8d5a4b2b06a71439c8632d44769eb328d2ec6b4fb9152edb5c2b9b20d824
replica_0019__exact3tag	19	exact3tag	108770	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0019__exact3tag.tar.gz	initial200_payload_replica_0019__exact3tag.tar.gz	14750988	bffbdfd371e66d4e0db7df6f69280dba87e21edb707ca261af17739ae4c7c9e4	f8247cf3b75d580d47bf4c8e93f2f6d7000c8209df545d3455fab793eafeedd4
replica_0019__ge4tag	19	ge4tag	30753	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0019__ge4tag.tar.gz	initial200_payload_replica_0019__ge4tag.tar.gz	4316728	0c92195bf10247f7f0c5d324c0ed8b9b38052e4c08135942f341e3c92170c246	951f845343f58f07d0267d33acb7c92ba36398640e17a3d2c9b2ab1021489c71
replica_0020__exact3tag	20	exact3tag	108377	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0020__exact3tag.tar.gz	initial200_payload_replica_0020__exact3tag.tar.gz	14633704	47f72e48bce17454fccd0b71a2a9714ba325dec371ef3c922ba88bd8c9943631	d15f23d028ae88e0f8150024af7557e4726a3948a03b52836169bf951702a8ce
replica_0020__ge4tag	20	ge4tag	30896	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0020__ge4tag.tar.gz	initial200_payload_replica_0020__ge4tag.tar.gz	4106776	252de236154828da4aed88496e1dba19af5496903cd575eac306c3cc5b3eded7	f3f6abbf2571a38bd010631839432f2c092bfb45b1a3056468b8e53a9edf45f5
replica_0021__exact3tag	21	exact3tag	108573	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0021__exact3tag.tar.gz	initial200_payload_replica_0021__exact3tag.tar.gz	14259888	79d2c73182221e2189ddc433970f54f13cd15a0e5ae24fe80c60bcc6d39ceb04	238d0601080bdf753c42dad2faab83be0aa3377c7684f10aba79e244c6d24028
replica_0021__ge4tag	21	ge4tag	30999	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0021__ge4tag.tar.gz	initial200_payload_replica_0021__ge4tag.tar.gz	3846119	c1c8d9da1ba62ae992ff59f50608f05d9fee45b38942ad4ed27e326ad623560c	e498e0819c54ca3ca2f82981c9ebe84d2b122eb46a42f545a0d91d3b57b6da4a
replica_0022__exact3tag	22	exact3tag	108865	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0022__exact3tag.tar.gz	initial200_payload_replica_0022__exact3tag.tar.gz	15064407	4ee2997a9c0af9eb386bc251f055c714b79ae07c05689681fc6b017875625ae4	cb54aa954ebc862876e234e9e53dbe5aa2f75528297266795bb59ee5779a3dae
replica_0022__ge4tag	22	ge4tag	31098	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0022__ge4tag.tar.gz	initial200_payload_replica_0022__ge4tag.tar.gz	4288337	664c1e9b4f0e520266123356fe8b6e2a3da2569dbcd8c0fe13d53f6491e1a4ed	432b942a6638e7268da1eee5d2b7a037ea7b226286f592d54587d87f86106c39
replica_0023__exact3tag	23	exact3tag	108368	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0023__exact3tag.tar.gz	initial200_payload_replica_0023__exact3tag.tar.gz	14110844	ac88982c39f8e1efa2962fe3ed8f245942997197dedb35b90ad25ccd93f3da2a	123b4f9e0463f3619070130ad198d9aff231c2ccc6ee88eade3c23bb9a1c7861
replica_0023__ge4tag	23	ge4tag	30864	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0023__ge4tag.tar.gz	initial200_payload_replica_0023__ge4tag.tar.gz	3881826	0baddd4eda5453bc77202f8fac24cd976b3090969cc7ccfd6fe0feba3fb6146c	478f61fcce982d22a01328a14246a354136b848c08c03cec9f2fc309abbd9835
replica_0024__exact3tag	24	exact3tag	109348	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0024__exact3tag.tar.gz	initial200_payload_replica_0024__exact3tag.tar.gz	14223392	36fcb82a6d2f7d399749ec257ddb72e811eae3e3848ba3f1c5e9e4fe6b1e4e7f	330b8ccdab389ea39d5f072acc945711d995084740ecf6ab25b9ba2ebd5c1632
replica_0024__ge4tag	24	ge4tag	30945	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0024__ge4tag.tar.gz	initial200_payload_replica_0024__ge4tag.tar.gz	4016525	79cbc07494f01a70d3f590301c359eae047dd27251d77e868123be9f96448a9a	99d0805bb4125be8112bc8be49d43f867a1ac90ffc83f3cf1d02d8c882ecb367
replica_0025__exact3tag	25	exact3tag	108506	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0025__exact3tag.tar.gz	initial200_payload_replica_0025__exact3tag.tar.gz	14163727	bcfd1ea1c2dd69a637e5f258f44fd0ed22ae3158a01d62cf36fdf3d729d57612	2137cb8a3c8f476a2f61b219e8d2966f4c9e3291e92d4825ef697cad18f1c86d
replica_0025__ge4tag	25	ge4tag	30669	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0025__ge4tag.tar.gz	initial200_payload_replica_0025__ge4tag.tar.gz	3965368	c30fb111cdaceb4825c022eabc94f7ae3a2414497eb57df108eeb38fc2358b07	5506d77faff39a68b32302885589fed97f84eb72ddac0d8e80ee499471245022
replica_0026__exact3tag	26	exact3tag	108905	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0026__exact3tag.tar.gz	initial200_payload_replica_0026__exact3tag.tar.gz	14174644	74b1e1e36738ad64906308d218929985d75972132f0d2776cc97095f5ae1265c	ffb0785b6b5b301b466469bb7e8e371472830509c7f65bb7909add0809056449
replica_0026__ge4tag	26	ge4tag	30812	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0026__ge4tag.tar.gz	initial200_payload_replica_0026__ge4tag.tar.gz	3847387	636eee6c022b0d6c50a42a6529cdda155d4e351fbfc57edadb3bf2dfdd1cd965	6730e86331958a6d783f3492ae9e3399265779fb3f39ef9f93e92b97e4a52cc4
replica_0027__exact3tag	27	exact3tag	109116	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0027__exact3tag.tar.gz	initial200_payload_replica_0027__exact3tag.tar.gz	14835083	c67ec1d45357cbaac838de627038677a920925adf8c31fdbea9e68d7e3fc3ac4	7cd0e5302070529413c52c75203c5ad13ccc42266f35b338076c1aca389030e8
replica_0027__ge4tag	27	ge4tag	30908	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0027__ge4tag.tar.gz	initial200_payload_replica_0027__ge4tag.tar.gz	4148807	19a4780929dced07ee4895d9d1f75946d5099e7016275cfadb10c148c4733789	4adeecd533a665b1e2613fdb4fda16b576dfd533fafb2003eb5ffa5a735197a6
replica_0028__exact3tag	28	exact3tag	108899	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0028__exact3tag.tar.gz	initial200_payload_replica_0028__exact3tag.tar.gz	14061724	2a7b1823e5edbc9a70c8b204a7a7dd52c8f304bad5d15f8d856702af904191c4	74babde49ba84588a4b1f52836cda088cbbaa75e0cb792cd2b6a7d1999d7b1b5
replica_0028__ge4tag	28	ge4tag	30986	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0028__ge4tag.tar.gz	initial200_payload_replica_0028__ge4tag.tar.gz	3920471	dc1c191d6fc7361d61c35199d6e23c07cfb877404bbd9ac229d5dfd03677fa4c	f8baabb7d25df09837e4d65b70c8771defb5cac8e8cfd905f523cd9962bcf481
replica_0029__exact3tag	29	exact3tag	108843	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0029__exact3tag.tar.gz	initial200_payload_replica_0029__exact3tag.tar.gz	14405760	da09fca6b1f8aae4e952b170fe84be27cca13ce4e0d2ec7c3bbff1584d699621	d60088eb25f61a929d6021570ec9617028d2b2280c9766b214a1917ef3a8553c
replica_0029__ge4tag	29	ge4tag	30544	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0029__ge4tag.tar.gz	initial200_payload_replica_0029__ge4tag.tar.gz	4157063	a3447769e9811323f978b0ab5f65471543ebe67505f52e44f9882c4b36d207b2	f472b7b110405b37043525340b1998c1246304ff37dddac261f0cb3a011e399a
replica_0030__exact3tag	30	exact3tag	109192	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0030__exact3tag.tar.gz	initial200_payload_replica_0030__exact3tag.tar.gz	14997491	c39479c415f75b16d9c512e9a0e9b75feb53a82b0ae007a3c59f4e9bdf280618	2fab9196eee1656de3b6ca3a33083d50fa969c4b5d5a7b10d7e1bdeb3aa42157
